,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AZE,91.2578629198617,91.3058963153576,91.45275676154952,91.68065984620735,90.59189186218921,90.65702483533161,90.80388528152436,91.03178836618572,89.94302038216694,90.00815335531104,90.15501380149949,90.3829168861537,89.29414890214228,89.35928187528094,89.5061423214753,89.73404540613265,88.6452774221191,88.7104103952592,88.85727084145628,89.08517392611377,87.99640594209667,88.06153891524124,88.20839936143226,88.43630244608943,87.34753446207351,87.41266743521732,87.5595278814144,87.78743096606944,86.69866298205265,86.76379595519333,86.91065640138491
BDI,120.45371024329415,114.30390481741023,109.1783553445444,102.69751671169041,119.0512417633145,115.29042468410259,110.16487521121852,103.68403657832334,120.03776162996456,116.2769445507149,111.1513950779272,104.67055644511264,121.02428149664894,117.26346441749746,112.1379149445849,105.6570763117438,122.0108013633072,118.24998428412826,113.1244348111558,106.64359617832551,122.99732122994394,119.23650415069461,114.11095467783599,107.6301160449781,123.98384109659762,120.22302401736576,115.09747454442879,108.61663591160124,124.97036096322327,121.20954388403395,116.08399441117041
BEL,100.23417662515982,101.23447032041217,101.883334844511,102.63151847308337,101.68291832342338,102.23254158879224,102.88140611289188,103.62958974146214,102.68098959179648,103.23061285717267,103.8794773812595,104.62766100983396,103.67906086017089,104.2286841255388,104.87754864964182,105.62573227821133,104.67713212854795,105.2267553939187,105.87561991802922,106.6238035465947,105.6752033969304,106.22482666230263,106.87369118640288,107.62187481497762,106.67327466530999,107.22289793067851,107.87176245477755,108.61994608335348,107.67134593368371,108.22096919905637,108.8698337231554
BEN,104.36532334113899,101.98659052195958,100.09500732675353,97.73715578695001,103.39500692530717,101.97129453581819,100.07971134060628,97.72185980080015,103.37971093917176,101.95599854966065,100.06441535449537,97.70656381469365,103.36441495304084,101.94070256356633,100.0491193683418,97.69126782854698,103.3491189668992,101.92540657741353,100.03382338216097,97.67597184237727,103.33382298074244,101.91011059123954,100.01852739603123,97.66067585622069,103.31852699459478,101.89481460510304,100.00323140988328,97.6453798700762,103.30323100845317,101.87951861896164,99.9879354237552
BFA,104.27720020982669,106.34074034935963,108.41162657857171,111.16810287810426,102.67663126644148,104.0562511755409,106.12713740476195,108.88361370432207,100.39214209265569,101.77176200176851,103.84264823095002,106.59912453045536,98.10765291884849,99.48727282791458,101.55815905714817,104.3146353566764,95.82316374505368,97.2027836541318,99.27366988339065,102.03014618291853,93.53867457126451,94.91829448038177,96.98918070958746,99.745657009118,91.25418539746909,92.63380530658056,94.7046915358348,97.46116783534626,88.96969622369639,90.34931613277891,92.42020236198888
BGD,107.82800626013388,111.2767012334148,113.60560729119553,116.33326466959416,109.81024523190467,111.7369989764229,114.06590503421124,116.7935624126227,110.27054297492465,112.19729671946158,114.52620277720686,117.25386015559457,110.73084071793033,112.65759446242623,114.98650052022941,117.71415789862311,111.19113846094936,113.11789220545754,115.44679826328561,118.17445564167167,111.65143620398135,113.57818994851601,115.90709600629489,118.63475338469601,112.11173394700398,114.03848769152938,116.3673937493356,119.09505112772634,112.57203169003483,114.4987854345453,116.82769149232581
BGR,102.66432389027099,103.20245592664516,103.66182841657192,104.24701594963894,102.88025121764608,103.21295189216659,103.6723243820946,104.25751191516574,102.89074718317124,103.22344785769499,103.68282034761538,104.26800788067818,102.90124314869361,103.23394382320913,103.6933163131395,104.27850384620545,102.91173911421815,103.24443978873593,103.70381227867115,104.28899981173659,102.9222350797444,103.25493575426816,103.71430824419402,104.29949577726079,102.93273104526929,103.26543171979161,103.72480420972492,104.30999174278902,102.94322701079635,103.27592768531525,103.73530017524163
BHR,85.08330877862532,86.03527086682615,86.59569414052353,87.210846003328,84.95292397298462,85.45741099775898,86.01783427145908,86.63298613426817,84.37506410392301,84.87955112870296,85.43997440239035,86.05512626519153,83.79720423485531,84.30169125962232,84.8621145333279,85.47726639613198,83.21934436579262,83.72383139056366,84.28425466427593,84.89940652707753,82.64148449673439,83.14597152151433,83.70639479521068,84.32154665801536,82.0636246276728,82.56811165244979,83.12853492615592,83.74368678895672,81.48576475861553,81.99025178338587,82.55067505708335
BHS,104.79113059503835,108.28369295566333,110.85676771188274,113.9760003206255,106.8854752876785,108.90836605819882,111.48144081442636,114.60067342318584,107.51014839023026,109.53303916076918,112.1061139169519,115.22534652567899,108.13482149276678,110.15771226326123,112.730787019503,115.8500196282399,108.7594945953161,110.78238536582333,113.35546012209211,116.47469273082287,109.38416769787695,111.40705846841459,113.98013322463132,117.09936583337594,110.00884080042927,112.03173157095802,114.60480632720785,117.72403893593989,110.63351390299209,112.65640467350346,115.229479429722
BIH,116.7763292020826,116.36194665774846,116.87377214912728,117.8565404012921,109.95877344862669,109.9931331856529,110.50495867703955,111.48772692923987,103.58995997658238,103.62431971360853,104.13614520497897,105.11891345710951,97.22114650451043,97.2555062415021,97.76733173289709,98.75009998506445,90.85233303244769,90.8866927694475,91.39851826085356,92.38128651302847,84.48351956038161,84.51787929742122,85.02970478878937,86.0124730409461,78.11470608831341,78.14906582535392,78.66089131677938,79.64365956891228,71.74589261628299,71.7802523532821,72.29207784465814
