,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRA,43.03192997636753,48.94675518648667,52.488978699848715,56.41614146672829,49.929113558800225,53.08252728300852,56.624750796379885,60.55191356327356,54.06488565533678,57.218299379565906,60.76052289288836,64.68768565975694,58.20065775185574,61.35407147603829,64.89629498942708,68.82345775630192,62.336429848390544,65.48984357258705,69.03206708600365,72.95922985286916,66.47220194494031,69.62561566916727,73.16783918252742,77.09500194941015,70.6079740414791,73.76138776569542,77.30361127908638,81.23077404595703,74.7437461380288,77.8971598622266,81.43938337558886
BRB,0.6482323855552811,0.6323985979819436,0.6071138667441833,0.5703294321852308,0.6791940182305963,0.6654731656565881,0.6401884344187304,0.603403999859465,0.7122685859049334,0.6985477333307228,0.673263002093424,0.6364785675348034,0.7453431535794638,0.7316223010058557,0.7063375697678639,0.6695531352090132,0.7784177212538691,0.7646968686801056,0.7394121374417317,0.7026277028828978,0.8114922889281961,0.797771436353969,0.7724867051162667,0.7357022705573086,0.8445668566025902,0.8308460040284514,0.8055612727901994,0.7687768382314457,0.8776414242768045,0.863920571702926,0.8386358404651979
BWA,0.672904363433956,0.6030440324923292,0.5564749173043522,0.5022407619000502,0.6404354088424369,0.6016053465339395,0.5550362313457925,0.50080207594121,0.6389967228837456,0.6001666605748812,0.5535975453876161,0.4993633899835408,0.6375580369253819,0.5987279746173735,0.5521588594289156,0.4979247040247016,0.6361193509667376,0.5972892886584749,0.5507201734695127,0.49648601806545223,0.6346806650078363,0.595850602699,0.5492814875110648,0.4950473321067107,0.6332419790491262,0.5944119167404741,0.5478428015519474,0.4936086461478268,0.6318032930901949,0.5929732307819033,0.5464041155939245
CAN,87.62569492493282,91.00452212400427,92.75004039848601,94.53288934164134,96.29571810477051,98.00383666782504,99.74935494230664,101.53220388546269,103.29503264859201,105.003151211646,106.74866948612821,108.5315184292825,110.29434719241374,112.0024657554679,113.74798402994887,115.53083297310403,117.29366173623491,119.00178029928885,120.74729857376988,122.53014751692565,124.29297628005531,126.00109484310958,127.74661311759118,129.52946206074634,131.2922908238762,133.00040938693084,134.74592766141313,136.5287766045681,138.29160536769737,139.9997239307519,141.7452422052334
CHE,152.00663309021118,155.4867887150183,157.45416012398036,159.5717164546208,159.6857881530423,161.50189487722486,163.46926628618817,165.58682261683433,165.7008943152552,167.51700103943972,169.48437244839684,171.6019287790313,171.71600047746452,173.53210720164097,175.49947861060608,177.61703494124572,177.73110663967557,179.54721336385407,181.51458477282353,183.6321411034637,183.7462128018871,185.5623195260727,187.52969093503333,189.64724726567303,189.7613189640979,191.57742568828277,193.54479709725285,195.66235342788903,195.7764251263129,197.59253185049263,199.55990325945393
CHI,0.04904536398125581,-0.04590744273966463,-0.09748019008004083,-0.15173650566618146,-0.09520990381741412,-0.14406253538801672,-0.19563528272850284,-0.24989159831474717,-0.19336499646587657,-0.24221762803672964,-0.293790375376646,-0.34804669096273266,-0.2915200891141483,-0.34037272068448976,-0.39194546802518837,-0.4462017836112815,-0.38967518176261096,-0.4385278133331123,-0.49010056067411756,-0.5443568762600748,-0.4878302744112688,-0.5366829059820795,-0.5882556533224514,-0.6425119689086483,-0.5859853670597899,-0.6348379986304677,-0.6864107459711148,-0.740667061557198,-0.6841404597084038,-0.7329930912788984,-0.7845658386192891
CHL,15.553099892497135,15.183099260479572,14.825127438561271,14.35312186430396,16.55800703524116,16.31507981363813,15.957107991717509,15.485102417456346,17.68998758839581,17.44706036678757,17.08908854487929,16.617082970625155,18.821968141554777,18.57904091995838,18.221069098033585,17.749063523777558,19.953948694709915,19.71102147311005,19.353049651178072,18.881044076924223,21.08592924786149,20.84300202625375,20.48503020433599,20.01302463007792,22.21790980101569,21.974982579410554,21.61701075748466,21.145005183229774,23.349890354167112,23.10696313256665,22.748991310648407
CHN,125.94664628736322,133.7638488784871,135.93939201675906,136.96202070642516,140.58062035526788,143.91142748240645,146.0869706206821,147.1095993103271,150.72819895917036,154.05900608631737,156.2345492245861,157.257177914284,160.8757775630667,164.20658469021728,166.38212782850684,167.4047565181811,171.02335616697542,174.35416329412888,176.52970643241122,177.5523351220704,181.17093477090083,184.50174189804238,186.6772850363198,187.69991372599083,191.31851337481592,194.64932050195034,196.8248636402023,197.84749232988105,201.466091978726,204.7968991058622,206.97244224414004
CIV,0.4559233534950013,0.4558378646971155,0.4505467665411115,0.4417858014768124,0.4898273891044794,0.48802946251272405,0.48273836435667694,0.47397739929227556,0.5220189869199856,0.5202210603281373,0.5149299621723288,0.5061689971081299,0.5542105847355764,0.5524126581439704,0.5471215599878522,0.5383605949235878,0.5864021825511021,0.5846042559594291,0.5793131578031605,0.5705521927389221,0.6185937803665744,0.6167958537747279,0.6115047556187417,0.6027437905544348,0.6507853781820898,0.6489874515902866,0.6436963534341055,0.634935388369872,0.6829769759975377,0.6811790494058358,0.6758879512498384
COL,5.253213517442819,5.322561371307152,5.364978332773433,5.4126418466060295,5.673575022196492,5.710806627566388,5.753223589032404,5.800887102864937,6.0618202784556035,6.099051883824896,6.141468845292158,6.189132359124614,6.450065534715197,6.487297140085547,6.529714101550977,6.577377615383588,6.838310790974267,6.8755423963442475,6.917959357809117,6.965622871642138,7.226556047232771,7.26378765260219,7.306204614068449,7.35386812790091,7.614801303491662,7.652032908861425,7.6944498703272775,7.742113384159925,8.003046559750373,8.04027816512054,8.08269512658674
CRI,0.24320568811740234,0.19011885404971662,0.14405472646242912,0.08508222673086824,0.23153018295733807,0.19845916702765454,0.15239503944021265,0.09342253970827402,0.23987049593490084,0.2067994800048838,0.16073535241829995,0.10176285268710372,0.24821080891276742,0.2151397929836239,0.16907566539593027,0.11010316566449391,0.256551121890399,0.22348010596101542,0.17741597837278178,0.11844347864142984,0.2648914348678503,0.2318204189378345,0.1857562913506146,0.12678379161901993,0.2732317478454469,0.24016073191558562,0.19409660432765574,0.13512410459633228,0.28157206082279945,0.2485010448933081,0.2024369173060479
CYM,0.0643556823294438,0.06721420369350255,0.0690794530354653,0.07123264331226223,0.06814169749031097,0.06971683809556344,0.07158208743753021,0.0737352777143366,0.07064433189238144,0.0722194724976427,0.0740847218395874,0.07623791211637554,0.07314696629444352,0.07472210689968234,0.07658735624165616,0.07874054651845036,0.07564960069651222,0.07722474130175734,0.07908999064374478,0.0812431809205363,0.07815223509858614,0.07972737570384736,0.0815926250458084,0.08374581532260608,0.08065486950065598,0.08223001010591295,0.08409525944789195,0.08624844972468275,0.08315750390273223,0.0847326445079794,0.08659789384994154
